team_code,scorer
SUI,Djibril Sow
SUI,Johan Manzambi
SUI,Rubén Vargas
SUI,Breel Embolo
SUI,Marvin Keller
SUI,Yvon Mvogo
SUI,Aurèle Amenda
SUI,Eray Cömert
SUI,Ardon Jashari
SUI,Denis Zakaria
SUI,Fabian Rieder
SUI,Michel Aebischer
SUI,Silvan Widmer
SUI,Cedric Itten
SUI,Christian Fassnacht
SUI,Dan Ndoye
SUI,Noah Okafor
SUI,Zeki Amdouni
ALG,Oussama Benbot
ALG,Rafik Belghali
ALG,Aïssa Mandi
ALG,Ramy Bensebaini
ALG,Jaouen Hadjam
ALG,Nabil Bentaleb
ALG,Farès Chaïbi
ALG,Riyad Mahrez
ALG,Ibrahim Maza
ALG,Houssem Aouar
ALG,Amine Gouiri
ALG,Luca Zidane
ALG,Melvin Mastil
ALG,Achref Abada
ALG,Mohamed Tougai
ALG,Rayan Aït-Nouri
ALG,Samir Chergui
ALG,Zineddine Belaïd
ALG,Hicham Boudaoui
ALG,Ramiz Zerrouki
ALG,Yacine Titraoui
ALG,Adil Boulbina
ALG,Anis Hadj Moussa
ALG,Farès Ghedjemis
ALG,Nadir Benbouali
